PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
654355,434.5650000000002,3.730200000000004,0.0,5.0,58.440000000000005,5.0,3.0,2.0,1.0,1.0,7.0,5.0,31.0,2.0,0.0,2.0,160.0,0.0,3.0,2.0,0
648904,443.58800000000025,2.443199999999999,2.0,4.0,87.74000000000001,5.0,0.0,0.0,0.0,4.0,7.0,5.0,32.0,5.0,2.0,3.0,176.0,1.0,3.0,3.0,0
296474,343.0920000000001,2.7150000000000007,0.0,6.0,69.9,3.0,2.0,0.0,2.0,0.0,11.0,2.0,21.0,0.0,0.0,0.0,114.0,0.0,2.0,0.0,0
649104,312.369,3.2703000000000024,0.0,5.0,45.510000000000005,7.0,3.0,2.0,1.0,0.0,5.0,3.0,23.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,0
3234324,395.47800000000007,4.376000000000004,1.0,2.0,52.650000000000006,2.0,2.0,2.0,0.0,2.0,6.0,4.0,29.0,2.0,0.0,2.0,152.0,1.0,2.0,3.0,0
2141528,301.371,1.8414,1.0,4.0,66.06,3.0,2.0,1.0,1.0,0.0,6.0,3.0,21.0,1.0,0.0,1.0,108.0,0.0,2.0,1.0,0
967387,323.345,2.194,0.0,4.0,63.68,5.0,2.0,2.0,0.0,0.0,7.0,2.0,22.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0
3233859,358.40100000000007,3.104800000000002,0.0,6.0,69.9,5.0,4.0,2.0,2.0,0.0,6.0,4.0,27.0,0.0,0.0,0.0,134.0,0.0,2.0,0.0,0
3246315,220.316,1.1893999999999998,1.0,3.0,26.71,3.0,1.0,1.0,0.0,1.0,3.0,2.0,16.0,1.0,0.0,1.0,88.0,0.0,1.0,0.0,0
5389909,453.49100000000016,3.4238000000000026,2.0,7.0,105.53000000000002,10.0,2.0,2.0,0.0,1.0,8.0,3.0,33.0,1.0,0.0,1.0,174.0,0.0,1.0,1.0,0
972742,334.4010000000001,2.4983000000000004,1.0,6.0,84.42,3.0,2.0,1.0,1.0,1.0,8.0,3.0,23.0,1.0,0.0,1.0,122.0,0.0,2.0,2.0,0
3233519,366.4800000000001,4.344100000000004,0.0,2.0,23.550000000000004,3.0,2.0,2.0,0.0,2.0,4.0,4.0,27.0,2.0,0.0,2.0,142.0,1.0,2.0,1.0,0
3232683,403.4860000000001,3.503580000000002,1.0,4.0,89.33,2.0,2.0,1.0,1.0,2.0,7.0,4.0,30.0,2.0,0.0,2.0,154.0,1.0,3.0,3.0,0
647544,324.37700000000007,0.0370000000000014,0.0,7.0,76.15,6.0,0.0,0.0,0.0,4.0,7.0,4.0,23.0,4.0,0.0,4.0,128.0,0.0,4.0,0.0,0
3234830,232.331,1.4466,1.0,4.0,41.05,1.0,1.0,0.0,1.0,2.0,4.0,3.0,17.0,2.0,0.0,2.0,92.0,1.0,3.0,0.0,0
9555297,256.26900000000006,0.3506999999999989,0.0,7.0,70.0,2.0,3.0,1.0,2.0,0.0,7.0,3.0,19.0,0.0,0.0,0.0,96.0,0.0,2.0,0.0,0
652017,297.31000000000006,3.501520000000003,0.0,5.0,61.44,3.0,3.0,1.0,2.0,0.0,5.0,3.0,22.0,0.0,0.0,0.0,112.0,0.0,2.0,0.0,0
238356,219.328,3.265500000000002,0.0,2.0,29.96,5.0,1.0,0.0,1.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,88.0,0.0,1.0,0.0,0
608398,274.36400000000003,2.6869200000000006,1.0,3.0,45.33,5.0,2.0,1.0,1.0,0.0,4.0,2.0,20.0,0.0,0.0,0.0,108.0,0.0,1.0,0.0,0
8330,260.891,4.2084,0.0,2.0,43.14,1.0,1.0,1.0,0.0,0.0,7.0,1.0,13.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0
76071323,395.46300000000025,3.5245000000000024,4.0,5.0,112.16,6.0,3.0,1.0,2.0,1.0,8.0,4.0,29.0,1.0,1.0,0.0,152.0,0.0,2.0,2.0,1
2999606,387.8960000000001,3.802520000000002,1.0,6.0,72.70000000000002,6.0,3.0,1.0,2.0,0.0,8.0,3.0,26.0,0.0,0.0,0.0,134.0,0.0,2.0,1.0,0
992286,412.8510000000003,2.0845200000000004,2.0,6.0,116.95000000000002,6.0,2.0,2.0,0.0,0.0,10.0,3.0,27.0,1.0,0.0,1.0,144.0,0.0,1.0,1.0,0
2999769,456.4950000000004,1.6765,1.0,7.0,95.56,8.0,2.0,2.0,0.0,1.0,9.0,4.0,33.0,2.0,0.0,2.0,176.0,0.0,2.0,2.0,0
3240375,430.9400000000002,2.199,1.0,7.0,79.16,6.0,3.0,1.0,2.0,1.0,9.0,4.0,30.0,1.0,0.0,1.0,160.0,0.0,3.0,0.0,0
646921,489.5320000000003,3.437800000000002,1.0,8.0,111.72000000000004,7.0,4.0,2.0,2.0,0.0,10.0,5.0,36.0,1.0,0.0,1.0,186.0,0.0,3.0,2.0,0
650157,443.9970000000003,2.349500000000001,1.0,5.0,78.95,6.0,1.0,1.0,0.0,2.0,9.0,3.0,29.0,2.0,0.0,2.0,162.0,0.0,2.0,1.0,0
