PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
2929441,470.89700000000016,2.9265000000000008,0.0,5.0,83.99000000000001,6.0,1.0,1.0,0.0,1.0,12.0,2.0,30.0,1.0,0.0,1.0,168.0,0.0,1.0,1.0,0
2938698,378.935,5.168420000000002,0.0,7.0,43.08,4.0,4.0,1.0,3.0,0.0,8.0,4.0,23.0,0.0,0.0,0.0,116.0,0.0,3.0,0.0,0
98782,184.22000000000003,0.96172,1.0,4.0,63.08,3.0,1.0,0.0,1.0,0.0,5.0,1.0,12.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,0
2063840,260.293,1.8237,1.0,4.0,72.19,5.0,2.0,1.0,1.0,0.0,5.0,2.0,19.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0
2969310,459.42800000000017,4.2417000000000025,2.0,7.0,90.3,5.0,3.0,2.0,1.0,0.0,11.0,4.0,33.0,1.0,0.0,1.0,172.0,0.0,2.0,1.0,0
5308876,412.4930000000003,4.862560000000005,1.0,5.0,72.95,4.0,4.0,2.0,2.0,0.0,6.0,5.0,31.0,1.0,1.0,0.0,156.0,0.0,2.0,1.0,0
2912319,283.331,1.80818,1.0,4.0,67.05,4.0,2.0,1.0,1.0,1.0,5.0,3.0,21.0,1.0,0.0,1.0,108.0,0.0,2.0,1.0,0
666520,307.353,3.497100000000001,2.0,5.0,81.26,4.0,3.0,2.0,1.0,0.0,5.0,3.0,23.0,0.0,0.0,0.0,116.0,0.0,1.0,0.0,0
6901,260.762,4.7574,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0
16759303,414.7180000000003,8.02480000000001,1.0,1.0,20.23,6.0,0.0,0.0,0.0,3.0,1.0,4.0,30.0,4.0,4.0,0.0,172.0,0.0,0.0,0.0,0
3232677,274.327,3.2344800000000014,0.0,4.0,52.81,2.0,3.0,2.0,1.0,0.0,4.0,3.0,21.0,0.0,0.0,0.0,102.0,0.0,1.0,0.0,0
651228,192.174,1.6763199999999998,2.0,3.0,79.11999999999999,2.0,2.0,0.0,2.0,0.0,5.0,2.0,14.0,0.0,0.0,0.0,72.0,0.0,2.0,0.0,0
3233942,375.4720000000001,4.045180000000004,0.0,4.0,56.57000000000001,3.0,2.0,2.0,0.0,2.0,5.0,4.0,28.0,2.0,0.0,2.0,144.0,1.0,2.0,1.0,0
2947564,276.336,1.99078,0.0,5.0,54.72,5.0,1.0,1.0,0.0,1.0,5.0,2.0,20.0,1.0,0.0,1.0,108.0,0.0,1.0,0.0,0
3247383,498.0260000000001,6.660300000000006,2.0,3.0,71.09,7.0,4.0,3.0,1.0,1.0,6.0,5.0,36.0,1.0,1.0,0.0,182.0,0.0,1.0,2.0,0
3244151,294.354,3.021700000000002,1.0,4.0,47.28,5.0,3.0,2.0,1.0,0.0,4.0,3.0,22.0,0.0,0.0,0.0,112.0,0.0,1.0,0.0,0
3237634,231.255,1.0612999999999997,2.0,3.0,74.85,2.0,2.0,1.0,1.0,0.0,5.0,2.0,17.0,0.0,0.0,0.0,88.0,0.0,1.0,1.0,0
652374,379.4420000000001,0.9345199999999998,0.0,8.0,107.28,5.0,2.0,1.0,1.0,1.0,10.0,3.0,26.0,1.0,0.0,1.0,140.0,0.0,2.0,0.0,0
787169,344.4110000000002,2.6449000000000007,0.0,5.0,55.150000000000006,6.0,2.0,1.0,1.0,1.0,6.0,3.0,25.0,1.0,0.0,1.0,134.0,0.0,2.0,1.0,0
836078,227.26300000000003,2.9529200000000007,2.0,2.0,49.33,2.0,2.0,2.0,0.0,0.0,3.0,2.0,17.0,0.0,0.0,0.0,86.0,0.0,0.0,1.0,0
3238470,360.4540000000002,2.643700000000001,1.0,4.0,67.87,7.0,1.0,1.0,0.0,2.0,6.0,3.0,26.0,2.0,1.0,1.0,142.0,0.0,1.0,2.0,0
135408450,319.3570000000001,2.0255,2.0,6.0,88.35000000000001,6.0,1.0,1.0,0.0,0.0,6.0,2.0,23.0,1.0,1.0,0.0,124.0,0.0,0.0,0.0,0
5307116,453.5200000000001,3.2033000000000023,1.0,6.0,105.67,6.0,3.0,2.0,1.0,1.0,9.0,4.0,32.0,1.0,0.0,1.0,166.0,0.0,2.0,1.0,0
9013,180.207,1.5759,2.0,2.0,64.35,3.0,1.0,1.0,0.0,0.0,4.0,1.0,13.0,0.0,0.0,0.0,70.0,0.0,0.0,2.0,0
661789,429.3180000000001,2.6990000000000007,1.0,6.0,84.28,4.0,2.0,1.0,1.0,0.0,7.0,3.0,27.0,1.0,0.0,1.0,140.0,0.0,2.0,0.0,0
832651,262.53399999999993,3.4510000000000023,1.0,1.0,29.1,2.0,1.0,1.0,0.0,0.0,4.0,1.0,13.0,0.0,0.0,0.0,70.0,0.0,0.0,1.0,0
3235821,321.38400000000007,2.7777400000000005,2.0,5.0,85.83,4.0,3.0,2.0,1.0,0.0,6.0,3.0,24.0,0.0,0.0,0.0,122.0,0.0,1.0,1.0,0
3243721,481.5600000000002,3.2148900000000022,2.0,8.0,110.07000000000002,7.0,5.0,1.0,4.0,0.0,9.0,5.0,36.0,0.0,0.0,0.0,182.0,0.0,4.0,1.0,0
878147,323.348,3.468300000000002,0.0,4.0,59.75000000000001,4.0,3.0,2.0,1.0,0.0,5.0,3.0,24.0,0.0,0.0,0.0,122.0,0.0,1.0,1.0,0
653323,364.4670000000002,2.7164,1.0,6.0,69.56,6.0,2.0,0.0,2.0,1.0,7.0,3.0,25.0,1.0,0.0,1.0,136.0,0.0,3.0,1.0,0
3242851,373.4780000000001,1.8412,1.0,4.0,79.37,6.0,2.0,1.0,1.0,1.0,7.0,3.0,26.0,1.0,0.0,1.0,138.0,0.0,2.0,1.0,0
73504797,314.324,2.5619000000000005,4.0,4.0,108.72,3.0,3.0,1.0,2.0,0.0,8.0,3.0,23.0,0.0,0.0,0.0,118.0,0.0,2.0,2.0,1
5308984,485.9720000000002,4.728500000000002,1.0,7.0,73.97,8.0,4.0,2.0,2.0,0.0,10.0,4.0,33.0,0.0,0.0,0.0,170.0,0.0,2.0,1.0,0
3236688,284.359,3.812640000000002,1.0,3.0,55.13,2.0,2.0,1.0,1.0,0.0,4.0,3.0,21.0,1.0,1.0,0.0,110.0,0.0,1.0,1.0,0
2127267,475.9610000000001,5.9386000000000045,0.0,8.0,78.86000000000001,7.0,5.0,3.0,2.0,0.0,9.0,5.0,33.0,0.0,0.0,0.0,164.0,0.0,2.0,0.0,0
